sentence,compQ,compRespL,compRespR,compRespCorr,incongruentambiguous,criticalSentenceCode,image,ambiguous,critical,congruent,Incongruent,Single,block,imageCorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,keyResponsePreStart.keys,keyResponsePreStart.rt,flankerkeyresponse.keys,flankerkeyresponse.corr,flankerkeyresponse.rt,IRI_0,IRI_FL_0,space_0,IRI_1,IRI_FL_1,space_1,IRI_2,IRI_FL_2,space_2,IRI_3,IRI_FL_3,space_3,IRI_4,IRI_FL_4,space_4,IRI_5,IRI_FL_5,space_5,IRI_6,IRI_FL_6,space_6,IRI_7,IRI_FL_7,space_7,IRI_8,IRI_FL_8,space_8,CompQkeyresponse.keys,CompQkeyresponse.corr,CompQkeyresponse.rt,key_resp_2.keys,key_resp_4.keys,IRI_9,IRI_FL_9,space_9,IRI_10,IRI_FL_10,space_10,IRI_11,IRI_FL_11,space_11,IRI_12,IRI_FL_12,space_12,IRI_13,IRI_FL_13,space_13,IRI_14,IRI_FL_14,space_14,IRI_15,IRI_FL_15,space_15,IRI_16,IRI_FL_16,space_16,key_resp_2.rt,key_resp_4.rt,IRI_17,IRI_FL_17,space_17,IRI_18,IRI_FL_18,space_18,IRI_19,IRI_FL_19,space_19,IRI_20,IRI_FL_20,space_20,rest_keyresponse.keys,rest_keyresponse.rt,session,participant,level,frameRate,expName,date,group,
,,,,,,,,,,,,,,,,,,,,,,,space,12.1090509892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,4,58.75650876590856,Dissertation,2018_Jul_18_2124,1,
Siempre que mi hermana maneja el carro suena raro ,El carro está en una condición perfecta.,Verdadero,Falso,j,1,3,incongruent_right,1,1,0,1,0,A,j,0,0,0,0,0,0,0,2,,,j,1,0.571197986603,0.499891042709,0.464696884155,0.499891042709,0.200627088547,0.154568910599,0.700518131256,0.351714849472,0.305343866348,1.05223298073,0.21541595459,0.153090953827,1.26764893532,0.185257196426,0.134227991104,1.45290613174,0.384427785873,0.338532924652,1.83733391762,0.367819070816,0.322594165802,2.20515298843,0.400720119476,0.353000879288,2.60587310791,0.434479951859,0.372633934021,3.04035305977,j,1,1.9400241375,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,4,58.75650876590856,Dissertation,2018_Jul_18_2124,1,
a,a,Verdadero,Falso,f,0,310,single_right,0,0,0,0,1,A,j,0,0,0,0,0,1,1,69,,,j,1,0.387183189392,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,4,58.75650876590856,Dissertation,2018_Jul_18_2124,1,
Mientras la esposa toca el piano el esposo lava los platos,La esposa sabe tocar un instrumento.,Verdadero,Falso,f,0,214,single_left,0,0,0,0,1,A,f,0,0,0,0,0,2,2,43,,,f,1,0.521702051163,0.73501086235,0.701642036438,0.73501086235,0.234377145767,0.171811103821,0.969388008118,0.41682600975,0.35456609726,1.38621401787,0.384706020355,0.321583032608,1.77092003822,0.233820915222,0.188056945801,2.00474095345,0.334863901138,0.288595199585,2.33960485458,0.166620016098,0.106019973755,2.50622487068,0.383339166641,0.303255796432,2.88956403732,0.168068885803,0.121017932892,3.05763292313,f,1,2.12516403198,None,None,0.349560022354,0.301903963089,3.40719294548,0.353089094162,0.306354045868,3.76028203964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,4,58.75650876590856,Dissertation,2018_Jul_18_2124,1,
Antes de que cantaran esa canción no era muy conocida ,Todos ya se sabían la canción antes de la fiesta.,Verdadero,Falso,j,1,6,incongruent_left,1,1,0,1,0,A,f,0,0,0,0,0,3,3,5,,,f,1,0.507614850998,0.751076936722,0.716420888901,0.751076936722,0.183919906616,0.136147022247,0.934996843338,0.251055955887,0.204826116562,1.18605279922,0.234765052795,0.189301013947,1.42081785202,0.599761962891,0.553170919418,2.02057981491,0.386504173279,0.335598945618,2.40708398819,0.366146802902,0.320322036743,2.77323079109,0.250538110733,0.203401088715,3.02376890182,0.334897994995,0.287373065948,3.35866689682,j,1,2.44281220436,None,None,0.148684978485,0.0982670783997,3.50735187531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,4,58.75650876590856,Dissertation,2018_Jul_18_2124,1,
Justo después de bajarme el autobús falló de repente ,Deben mandar el autobús al mecánico.,Verdadero,Falso,f,0,213,congruent_left,0,0,1,0,0,A,f,0,0,0,0,0,4,4,42,,,f,1,0.555693149567,0.750703811646,0.718554019928,0.750703811646,0.200949192047,0.155959844589,0.951653003693,0.432331800461,0.386162042618,1.38398480415,0.152442216873,0.104062795639,1.53642702103,0.317356824875,0.25133395195,1.8537838459,0.350909948349,0.288645029068,2.20469379425,0.417621135712,0.372122049332,2.62231492996,0.485089063644,0.422267198563,3.10740399361,0.350739002228,0.287548065186,3.45814299583,f,1,2.22446298599,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,4,58.75650876590856,Dissertation,2018_Jul_18_2124,1,
Antes de que bebieran el vino se volvió vinagre ,No tomaron vino porque se había echado a perder.,Verdadero,Falso,f,0,5,congruent_left,1,1,1,0,0,A,f,0,0,0,0,0,5,5,4,,,f,1,0.416728973389,0.686325073242,0.651053905487,0.686325073242,0.215832948685,0.170813083649,0.902158021927,0.268387079239,0.221339941025,1.17054510117,0.150843858719,0.104557991028,1.32138895988,0.266324043274,0.218033075333,1.58771300316,0.401526927948,0.35414981842,1.98923993111,0.317450046539,0.270507097244,2.30668997765,0.384762048721,0.337931871414,2.69145202637,0.418169021606,0.369797945023,3.10962104797,f,1,2.70953392982,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,4,58.75650876590856,Dissertation,2018_Jul_18_2124,1,
Jimena duerme bien en la cama en su cuarto,La cama de Jimena es cómoda.,Verdadero,Falso,f,0,205,congruent_left,0,0,1,0,0,A,f,0,0,0,0,0,6,6,34,,,f,1,0.472231864929,0.666082143784,0.637939929962,0.666082143784,0.202008962631,0.155264139175,0.868091106415,0.400563001633,0.356532096863,1.26865410805,0.268576860428,0.222187042236,1.53723096848,0.350089073181,0.304990053177,1.88732004166,0.317013025284,0.271855115891,2.20433306694,0.285232067108,0.23904299736,2.48956513405,0.350636005402,0.304886102676,2.84020113945,0.349078893661,0.299740076065,3.18928003311,f,1,1.67553091049,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,4,58.75650876590856,Dissertation,2018_Jul_18_2124,1,
La madre metió los vasos sucios que su hija dejó en el lavaplatos cuando acabó de comer,La madre limpió después de la comida.,Verdadero,Falso,f,0,137,incongruent_right,0,1,0,1,0,A,j,0,0,0,0,0,7,7,28,,,j,1,0.506151914597,0.818302869797,0.767212867737,0.818302869797,0.317402124405,0.251314163208,1.1357049942,0.167340993881,0.088593006134,1.30304598808,0.283673048019,0.217993021011,1.5867190361,0.334687948227,0.273007154465,1.92140698433,0.183070898056,0.103776216507,2.10447788239,0.384433984756,0.32217001915,2.48891186714,0.250811100006,0.187847852707,2.73972296715,0.198944091797,0.13238286972,2.93866705894,f,1,1.38670492172,None,None,0.184125900269,0.119080066681,3.12279295921,0.235604047775,0.156257867813,3.35839700699,0.316676855087,0.238760948181,3.67507386208,0.168166160583,0.0880491733551,3.84324002266,0.265336036682,0.203594923019,4.10857605934,0.503392934799,0.440702199936,4.61196899414,0.300158023834,0.240386009216,4.91212701797,0.384480953217,0.304804086685,5.29660797119,,,,,,,,,,,,,,,,,1,3,4,58.75650876590856,Dissertation,2018_Jul_18_2124,1,
Cuando el escultor volvió la obra estaba instalada en el parque,La obra era para el público.,Verdadero,Falso,f,0,129,incongruent_right,0,1,0,1,0,A,j,0,0,0,0,0,8,8,24,,,j,1,0.605244874954,0.633978843689,0.586157083511,0.633978843689,0.367819070816,0.305217027664,1.00179791451,0.199759960175,0.135402917862,1.20155787468,0.251498937607,0.205821990967,1.45305681229,0.317332983017,0.255419015884,1.7703897953,0.282684087753,0.218955039978,2.05307388306,0.385987043381,0.321841955185,2.43906092644,0.450865983963,0.387804985046,2.8899269104,0.416481971741,0.370314121246,3.30640888214,f,1,2.91341805458,None,None,0.385625123978,0.32125210762,3.69203400612,0.28422999382,0.221607923508,3.97626399994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,4,58.75650876590856,Dissertation,2018_Jul_18_2124,1,
